iter	Passed	Remaining
668	1916	948
669	1918	945
670	1921	942
671	1924	939
672	1926	936
673	1929	933
674	1932	930
675	1935	927
676	1937	924
677	1940	921
678	1943	918
679	1945	915
680	1948	912
681	1951	909
682	1954	906
683	1956	904
684	1959	901
685	1962	898
686	1964	895
687	1967	892
688	1970	889
689	1973	886
690	1975	883
691	1978	880
692	1982	878
693	1984	875
694	1987	872
695	1990	869
696	1993	866
697	1996	863
698	1998	860
699	2001	857
700	2004	854
701	2007	852
702	2009	849
703	2012	846
704	2015	843
705	2018	840
706	2020	837
707	2023	834
708	2026	831
709	2028	828
710	2031	825
711	2034	822
712	2037	819
713	2040	817
714	2042	814
715	2045	811
716	2048	808
717	2051	805
718	2053	802
719	2056	799
720	2059	796
721	2062	794
722	2065	791
723	2067	788
724	2070	785
725	2073	782
726	2075	779
727	2078	776
728	2081	773
729	2083	770
730	2086	767
731	2089	764
732	2092	762
733	2094	759
734	2097	756
735	2100	753
736	2103	750
737	2105	747
738	2108	744
739	2111	741
740	2113	738
741	2116	735
742	2119	733
743	2122	730
744	2124	727
745	2127	724
746	2130	721
747	2133	718
748	2135	715
749	2138	712
750	2141	710
751	2144	707
752	2146	704
753	2149	701
754	2152	698
755	2155	695
756	2157	692
757	2160	689
758	2163	686
759	2166	684
760	2168	681
761	2171	678
762	2174	675
763	2176	672
764	2179	669
765	2182	666
766	2185	663
767	2188	660
768	2190	658
769	2193	655
770	2196	652
771	2199	649
772	2201	646
773	2204	643
774	2207	640
775	2209	637
776	2212	635
777	2215	632
778	2218	629
779	2220	626
780	2223	623
781	2226	620
782	2229	617
783	2231	614
784	2234	612
785	2237	609
786	2239	606
787	2242	603
788	2245	600
789	2248	597
790	2250	594
791	2253	591
792	2256	589
793	2259	586
794	2261	583
795	2264	580
796	2267	577
797	2270	574
798	2272	571
799	2275	568
800	2278	565
801	2280	563
802	2283	560
803	2286	557
804	2289	554
805	2291	551
806	2294	548
807	2297	545
808	2299	542
809	2302	540
810	2305	537
811	2308	534
812	2310	531
813	2313	528
814	2316	525
815	2319	522
816	2321	520
817	2324	517
818	2327	514
819	2330	511
820	2332	508
821	2335	505
822	2338	502
823	2340	499
824	2343	497
825	2346	494
826	2348	491
827	2351	488
828	2354	485
829	2356	482
830	2359	479
831	2362	476
832	2364	474
833	2367	471
834	2370	468
835	2372	465
836	2375	462
837	2378	459
838	2381	456
839	2384	454
840	2386	451
841	2389	448
842	2392	445
843	2394	442
844	2398	439
845	2405	437
846	2410	435
847	2413	432
848	2416	429
849	2419	426
850	2421	424
851	2424	421
852	2427	418
853	2430	415
854	2433	412
855	2436	409
856	2438	406
857	2441	404
858	2444	401
859	2447	398
860	2449	395
861	2452	392
862	2455	389
863	2457	386
864	2460	384
865	2463	381
866	2465	378
867	2468	375
868	2471	372
869	2475	369
870	2478	367
871	2481	364
872	2483	361
873	2486	358
874	2489	355
875	2491	352
876	2494	349
877	2497	347
878	2500	344
879	2503	341
880	2506	338
881	2508	335
882	2511	332
883	2514	329
884	2516	327
885	2519	324
886	2522	321
887	2525	318
888	2527	315
889	2530	312
890	2533	309
891	2535	307
892	2538	304
893	2541	301
894	2544	298
895	2546	295
896	2549	292
897	2552	289
898	2555	287
899	2557	284
900	2560	281
901	2563	278
902	2565	275
903	2568	272
904	2571	269
905	2575	267
906	2578	264
907	2580	261
908	2584	258
909	2587	255
910	2590	253
911	2592	250
912	2595	247
913	2598	244
914	2601	241
915	2604	238
916	2606	235
917	2609	233
918	2612	230
919	2615	227
920	2618	224
921	2620	221
922	2623	218
923	2626	216
924	2629	213
925	2631	210
926	2634	207
927	2637	204
928	2639	201
929	2642	198
930	2645	196
931	2648	193
932	2651	190
933	2653	187
934	2656	184
935	2659	181
936	2661	178
937	2664	176
938	2667	173
939	2670	170
940	2673	167
941	2675	164
942	2678	161
943	2681	159
944	2684	156
945	2686	153
946	2689	150
947	2691	147
948	2694	144
949	2697	141
950	2700	139
951	2702	136
952	2705	133
953	2708	130
954	2711	127
955	2714	124
956	2716	122
957	2719	119
958	2722	116
959	2725	113
960	2727	110
961	2730	107
962	2733	105
963	2735	102
964	2738	99
965	2741	96
966	2744	93
967	2746	90
968	2749	87
969	2752	85
970	2755	82
971	2757	79
972	2760	76
973	2763	73
974	2765	70
975	2768	68
976	2771	65
977	2774	62
978	2777	59
979	2779	56
980	2782	53
981	2785	51
982	2787	48
983	2790	45
984	2793	42
985	2795	39
986	2798	36
987	2801	34
988	2803	31
989	2806	28
990	2809	25
991	2812	22
992	2814	19
993	2817	17
994	2820	14
995	2823	11
996	2825	8
997	2828	5
998	2831	2
999	2834	0
